NO.,NAMA KAPAL,CABANG,TANGGAL KEDATANGAN,TANGGAL KEBERANGKATAN,DARI,TUJUAN,,PENUMPANG TURUN,PENUMPANG NAIK,"JUMLAH
CREW"
223,STAR CLIPPER,BENOA,06/10/18,06/10/18,GILI SUDAK,LABUAN HAJI,,103,132,66
224,STAR CLIPPER,BENOA,13/10/18,13/10/18,GILI SUDAK,LABUAN HAJI,,132,128,64
225,SUN PRINCESS,BENOA,14/10/18,14/10/18,PORT KLANG,FREMANTLE,,"2,040","2,025","1,013"
226,AMSTERDAM,BENOA,15/11/18,15/11/18,SEMARANG,KOMODO,,897,885,443
227,NORWEGIAN JEWELL,BENOA,16/11/18,17/11/18,SEMARANG,KOMODO,,"2,252","2,250","1,125"
228,VIKING ORION,BENOA,29/11/18,01/12/18,SEMARANG,KOMODO,,901,895,448
229,SAPPHIRE PRINCESS,BENOA,01/12/18,01/12/18,SINGAPORE,PORT KLANG,,"2,696","2,703","1,352"
230,SEABOURN ENCORE,BENOA,03/12/18,03/12/18,CLKN BAWANG,BENOA,,565,542,271
231,AIDA VITA,BENOA,06/12/18,07/12/18,SINGAPURA,BENOA,,"1,172","1,145",573
232,AZAMARA QUEST,BENOA,11/12/18,12/12/18,SURABAYA,LABUAN BAJO,,542,544,272
233,SILVER MUSE,BENOA,21/12/18,21/12/18,SEMARANG,KOMODO,,421,506,253
234,ASTOR,BENOA,22/12/18,23/12/18,FREMANTLE,FREMANTLE,,453,469,235
235,REGATTA,BENOA,27/12/18,28/12/18,KOMODO,BROOME,,640,643,322
236,SEVEN SEAS MARINE,BENOA,31/12/18,01/1/19,KOMODO,BROME,,489,556,278
237,MS. VOLENDAM,Tanjung Priok,05/1/18,05/1/18,SINGAPURA,SEMARANG,,1370,1370,681
238,MS. SEVEN SEAS VOYAGER,Tanjung Priok,04/2/18,04/2/18,SINGAPURA,SEMARANG,,672,672,331
239,MS. VOLENDAM,Tanjung Priok,16/2/18,16/2/18,SINGAPURA,SEMARANG,,1383,1383,681
240,MV. EUROPA,Tanjung Priok,10/3/18,10/3/18,SEMARANG,SINGAPURA,,318,318,159
241,MS. GENTING DREAM,Tanjung Priok,04/4/18,04/4/18,SEMARANG,SINGAPURA,,3461,3482,863
242,MV. STAR CLIPPER,Tanjung Priok,10/5/18,10/5/18,P.SERIBU,P.KARIMUN,,118,118,70
243,MV. STAR CLIPPER,Tanjung Priok,22/10/18,22/10/18,KARIMUN JAWA,P.SERIBU,,134,134,69
244,MV. VIKING ORION,Tanjung Priok,25/11/18,25/11/18,SINGAPURA,SEMARANG,,930,930,453
245,MS. AZAMARA QUEST,Tanjung Priok,08/12/18,08/12/18,SINGAPURA,SEMARANG,,560,560,271
246,MV. SILVER MUSE,Tanjung Priok,15/12/18,15/12/18,SINGAPURA,SEMARANG,,559,558,208
247,MV. STAR LEGEND,Tanjung Priok,25/12/18,25/12/18,SINGAPURA,KARIMUN JAWA,,188,187,94
248,DIAMOND PRINCESS,BENOA,01/1/19,01/1/19,SINGAPORE,PORT KLANG,,"2,871","2,862","1,431"
249,STAR LEGEND,LEMBAR,01/1/19,01/1/19,KOMODO,BENOA,,200,152,76
250,STAR LEGEND,BENOA,02/1/19,02/1/19,LEMBAR,LEMBAR,,188,180,90
251,MV. AIDAVITA,LEMBAR,02/1/19,02/1/19,KOMODO,SURABAYA,,"1,200","1,165",583
252,STAR LEGEND,LEMBAR,03/1/19,03/1/19,BENOA,KOMODO,,200,117,59
253,MV. AIDA VITA,TANJUNG PERAK,04/1/19,04/1/19,LEMBAR,SINGAPURA,,"1,169","1,169",585
254,MS STAR LEGEND,SEMARANG,08/1/19,08/1/19,BAWEAN,KARIMUNJAWA,,181,181,91
255,SEABOURN SOJOURN,BENOA,11/1/19,11/1/19,KOMODO,SEMARANG,,421,421,211
256,MS SEABOURN SOJOURN,SEMARANG,13/1/19,13/1/19,BENOA,SINGAPURA,,421,421,211
257,LAPEROUSE,BENOA,14/1/19,14/1/19,KOMODO,PULAU BANTA,,175,178,89
258,MS. GENTING DREAM,TANJUNG PERAK,15/1/19,15/1/19,SINGAPURA,SINGAPURA,,"2,544","2,544","1,272"
259,MS GENTING DREAM,CELUKAN BAWANG,16/1/19,16/1/19,SINGAPORE,SURABAYA,,"2,534","2,534","1,267"
260,EUROPA 2,BENOA,19/1/19,20/1/19,MALAYSIA,DARWIN,,452,412,206
261,ASTOR,BENOA,19/1/19,20/1/19,FREMANTLE,FREMANTLE,,458,467,234
262,MS MAASDAM,CELUKAN BAWANG,21/1/19,21/1/19,PROBOLINGGO,P BAY,,"1,057","1,057",529
263,MS MAASDAM,TANJUNG PERAK,23/1/19,23/1/19,DILI,SINGAPURA,,569,569,285
264,MS MASDAAM,SEMARANG,24/1/19,24/1/19,TG. PERAK,SINGAPURA,,"1,053","1,053",527
265,MS AIDA VITA,SEMARANG,01/2/19,01/2/19,SINGAPURA,LEMBAR,,"1,186","1,186",593
266,MS AMADEA,SEMARANG,03/2/19,03/2/19,SINGAPURA,KARIMUNJAWA,,530,530,265
267,SEVEN SEAS MARINER,BENOA,03/2/19,04/2/19,KOMODO,SEMARANG,,617,620,310
268,MV. AIDAVITA,LEMBAR,03/2/19,03/2/19,TANJUNG EMAS,KOMODO,,"1,200","1,183",592
269,MS SEVEN SEAS MARINE,SEMARANG,06/2/19,06/2/19,BENOA,SINGAPURA,,620,620,310
270,AMADEA,BENOA,06/2/19,06/2/19,PROBOLINGGO,EXMOUTH,,529,524,262
271,AIDA VITA,BENOA,12/2/19,13/2/19,DARWIN,SINGAPORE,,"1,163","1,179",590
272,MV. AIDA VITA,TANJUNG PERAK,15/2/19,15/2/19,BENOA,SINGAPURA,,"1,176","1,176",588
273,SILVER WHISPER,BENOA,16/2/19,16/2/19,KOMODO,MALAYSIA,,307,315,158
274,SEVEN SEAS NAVIGATOR,BENOA,25/2/19,26/2/19,KOMODO,UJUNG PANDANG,,388,376,188
275,NORWEGIAN JEWEL,BENOA,27/2/19,28/2/19,KOMODO,SEMARANG,,"2,251","2,245","1,123"
276,MS NOWERGIAN JEWEL,SEMARANG,02/3/19,02/3/19,BENOA,SINGAPURA,,"2,245","2,245","1,123"
277,SAPPHIRE PRINCESS,BENOA,03/3/19,03/3/19,SINGAPORE,PORT KLANG,,"2,692","2,691","1,346"
278,PACIFIC JEWEL,BENOA,05/3/19,05/3/19,FREMANTLE,PENANG,,"1,610","1,592",796
279,SILVER MUSE,BENOA,08/3/19,09/3/19,AUSTRALIA,MALAYSIA,,503,296,148
280,QUEEN VICTORIA,BENOA,11/3/19,11/3/19,DARWIN,HO CHI MINH CITY,,"1,851","1,860",930
281,MV SUN PRINCESS,LEMBAR,15/3/19,15/3/19,DARWIN,KOMODO,,"2,200","1,935",968
282,INSIGNIA,BENOA,16/3/19,17/3/19,KOMODO,PUERTO PRINCESSA,,619,622,311
283,AZAMARA QUEST,BENOA,17/3/19,17/3/19,KOMODO,SURABAYA,,637,636,318
284,MS. AZAMARA QUEST,TANJUNG PERAK,18/3/19,18/3/19,BENOA,SINGAPURA,,636,636,318
285,AMSTERDAM,BENOA,18/3/19,18/3/19,KOMODO,SEMARANG,,"1,159","1,158",579
286,MV. GENTING DREAM,TANJUNG PERAK,19/3/19,19/3/19,SINGAPURA,CELUKAN BAWANG,,"3,024","3,024","1,512"
287,MS AZAMARA QUEST,SEMARANG,19/3/19,19/3/19,TG. PERAK,SINGAPURA,,637,637,319
288,MS AMSTERDAM,SEMARANG,20/3/19,20/3/19,BENOA,SINGAPURA,,"1,159","1,159",580
289,SILVER DISCOVERER,BENOA,20/3/19,20/3/18,PROBOLINGGO,KOMODO,,48,91,46
290,MS GENTING DREAM,CELUKAN BAWANG,20/3/19,20/3/19,SINGAPORE,SURABAYA,,"3,034","3,034","1,517"
291,COSTA LUMINOSA,BENOA,21/3/19,22/3/19,KOMODO,SINGAPORE,,"1,774","1,782",891
292,PASIFIC EDEN,BENOA,25/3/19,26/3/19,FREMANTLE,PORT KLANG,,"1,219","1,216",608
293,MV VIKING ORION,LEMBAR,25/3/19,25/3/19,KOMODO,BENOA,,923,559,280
