NO.,NAMA KAPAL,CABANG,TANGGAL KEDATANGAN,TANGGAL KEBERANGKATAN,DARI,TUJUAN,,PENUMPANG TURUN,PENUMPANG NAIK,"JUMLAH
CREW"
405,PACIFIC EXPLORER,GIILIMAS LEMBAR,08/2/20,08/2/20,BENOA,SINGAPORE,,"1,901","1,901",951
406,VASCO DA GAMA,GIILIMAS LEMBAR,20/2/20,08/2/20,BENOA,SEMARANG,,947,947,474
407,ALBATROS,GIILIMAS LEMBAR,09/3/20,09/3/20,BENOA,KARIMUNJAWA,,377,377,189
408,COLUMBUS,GIILIMAS LEMBAR,10/3/20,11/3/20,BENOA,TANJUNG EMAS,,"1,027","1,026",513
409,AIDA VITA,SEMARANG,15/1/20,15/1/20,SINGAPORE,DARWIN,,"1,211","1,211",606
410,SEVEN SEAS VOYAGER,SEMARANG,14/2/20,14/2/20,BENOA,SINGAPORE,,402,402,201
411,VASCO DA GAMA,SEMARANG,22/2/20,22/2/20,LOMBOK,SINGAPORE,,948,948,474
412,COLUMBUS,SEMARANG,13/3/20,14/3/20,JAKARTA,KOTA KINABALU,,"1,027","1,026",700
413,AIDA VITA,SURABAYA,29/1/20,29/1/20,LEMBAR,SINGAPURA,,1206,1206,603
414,LE LAPEROUSE,BENOA,19/9/22,20/9/22,KOMODO,PROBOLINGGO,,127,85,]
415,LE LAPEROUSE,TANJUNG EMAS,24/9/22,24/9/22,KARIMUNJAWA,KRAKATAU,,85,85,43
416,NATIONAL GEOGRAPHIC,BENOA,27/10/22,28/10/22,KALABAHI,SONGAPORE,,53,0,27
417,QUEEN ELIZABETH,BENOA,03/11/22,03/11/22,SINGAPORE,NORWAY,,"1,736","1,729",868
418,VIKING ORION,BENOA,03/11/22,03/11/22,TJ PRIUK,FREMANTLE,,353,263,177
419,REGATTA,LEMBAR,14/11/22,14/11/22,LABUAN BAJO,CELUKAN BAWANG,,341,341,171
420,MS REGATA,Celukan Bawang,15/11/20,16/11/22,LEMBAR,MALAYSIAN,,335,335,168
421,LE LAPEROUSE,TANJUNG EMAS,18/11/22,18/11/22,SINGAPORE,KARIMUNJAWA,,94,94,47
422,VIKING ORION,BENOA,21/11/22,22/11/22,SINGAPORE,DARWIN,,777,843,389
423,LE LAPEROUSE,BENOA,22/11/22,23/11/22,PROBOLINGGO,BENOA,,94,97,47
424,VIKING ORION,LEMBAR,23/11/22,23/11/22,BENOA,LABUAN BAJO,,842,842,421
425,REGATTA,BENOA,25/11/22,26/11/22,SINGAPORE,DARWIN,,603,593,302
426,NATIONAL GEOGRAPHIC,BENOA,30/11/22,30/11/22,LABUHAN LALANG,MORESBY,,88,85,44
427,SILVER MUSE,BENOA,05/12/22,05/12/22,SINGAPORE,LOMBOK,,506,468,253
428,SILVER MUSE,LEMBAR,06/12/22,06/12/22,BENOA,FERMANTLE,,461,461,231
429,VIKING MARS,TANJUNG EMAS,08/12/22,08/12/22,JAKARTA,SURABAYA,,773,773,387
430,MV Viking Mars,Tanjung Perak,09/12/22,09/12/22,"TANJUNG EMAS, SEMA",BENOA,,773,773,387
431,VIKING MARS,BENOA,10/12/22,11/12/22,TANJUNG PERAK,TANJUNG PERAK,,773,786,387
432,VIKING MARS,LEMBAR,12/12/22,12/12/22,BENOA,KOMODO,,780,780,390
433,SEVEN SEAS EXPLORER,TANJUNG EMAS,14/12/22,14/12/22,SINGAPORE,SURABAYA,,625,625,313
434,AZAMARA QUEST,BENOA,14/12/22,15/12/22,SINGAPORE,FREMANTLE,,403,392,202
435,MV Seven Seas Explorer,Tanjung Perak,15/12/22,15/12/22,"TANJUNG EMAS, SEMA",BENOA,,625,625,313
436,SEVEN SEAS EXPLORER,BENOA,16/12/22,17/12/22,TANJUNG EMAS,DARWIN,,625,626,313
437,EUROPA 2,TANJUNG EMAS,17/12/22,17/12/22,JAKARTA,BALI,,273,273,137
438,MV EUROPA 2,BENOA,19/12/22,20/12/22,TANJUNG EMAS,DARWIN,,273,359,137
439,MV Genting Dream,Tanjung Perak,20/12/22,20/12/22,SINGAPORE,BENOA,,"3,982","3,982",1991
440,GENTING DREAM,CELUKAN BAWANG,21/12/22,21/12/22,SURABAYA,SINGAPORE,,"3,956","3,956",1978
441,REGATTA,BENOA,25/12/22,26/12/22,KOMODO,BROOME,,611,593,306
442,QUEEN ELISABETH 2,Tanjung Priok,01 11 22,01 11 22,SINGAPORE,BENOA,,1768,1760,868
443,SS. STATSRAAD LEHMKUH,Tanjung Priok,06/11/22,09/11/22,SINGAPORE,MARITUNIA,,258,258,100
444,MV. VIKING ORION,Tanjung Priok,17/11/22,18/11/22,SINGAPORE,SEMARANG,,783,777,421
445,VIKING MARS,Tanjung Priok,06 Des 22,07 Des 22,SINGAPORE,SEMARANG,,783,777,390
446,MS. EUROPA 2,Tanjung Priok,16 Des 22,16 Des 22,SINGAPORE,SEMARANG,,275,272,137
447,WESTERDAM,BENOA,16/1/23,16/1/23,GILIMAS,SINGAPORE,,"1,876",1841,938
448,AMERA,BENOA,25/1/23,26/1/23,PROBOLINGGO,DARWIN,,749,748,375
449,OCEAN ODYSSEY,BENOA,04/2/23,04/2/23,CELUKAN BAWANG,GILIMAS,,124,115,62
450,LE PAUL GAUGIN,BENOA,05/2/23,05/2/23,KOMODO,SINGAPORE,,232,0,116
451,SEVEN SEAS EXPLORER,BENOA,13/2/23,13/2/23,LOMBOK,CELUKAN BAWANG,,637,634,319
452,STAR BREZEE,BENOA,17/2/23,17/2/23,LOMBOK,LOMBOK,,132,122,66
453,WESTERDAM,BENOA,21/2/23,21/2/23,KOMODO,CELUKAN BAWANG,,"1,883",1868,942
454,MV EUROPA 2,BENOA,22/2/23,22/2/23,DARWIN,SEMARANG,,307,343,154
455,AZAMARA QUEST,BENOA,24/2/23,24/2/23,GERALDTON,SINGAPORE,,381,373,191
456,SILVER MUSE,BENOA,24/2/23,25/2/23,KOMODO,SINGAPORE,,530,520,265
457,QUEEN MARRY 2,BENOA,26/2/23,26/2/23,SINGAPORE,DARWIN,,0,0,"1,000"
458,OCEAN ODYSSEY,BENOA,26/2/23,26/2/23,GILI ISLAND,CELUKAN BAWANG,,133,125,67
459,SEVENSEAS MARINER,BENOA,27/2/23,27/2/23,DARWIN,CELUKAN BAWANG,,556,552,278
460,PACIFIC ECOUNTER,BENOA,28/2/23,28/2/23,SINGAPORE,LOMBOK,,"2,363",2348,"1,182"
461,VIKING NEPTUNE,BENOA,01/3/23,03/3/23,KOMODO,SEMARANG,,850,854,425
462,LE PAUL GAUGIN,BENOA,04/3/23,05/3/23,DARWIN,KOMODO,,0,204,-
463,LE LAPEROUSE,BENOA,07/3/23,07/3/23,KOMODO,KOMODO,,143,138,72
464,SILVER WHISPER,BENOA,09/3/23,09/3/23,SLAWI BAY,TANJUNG EMAS,,344,345,172
465,QUEEN ELIZABETH,BENOA,11/3/23,11/3/23,FREMANTLE,TANJUNG PRIOK,,"1,884","1,878",942
466,QUEEN VICTORIA,BENOA,12/3/23,12/3/23,DARWIN,TANJUNG PRIOK,,"1,528","1,530",764
467,VIKING ORION,BENOA,17/3/23,19/3/23,RINCA,TANJUNG EMAS,,798,808,399
468,SEABOURN SOJOURN,BENOA,27/3/23,28/3/23,PROBOLINGO,BENOA,,353,300,177
469,OCEAN ODYSSEY,CELUKAN BAWANG,03/2/23,03/2/23,PROBOLINGO,BENOA,,124,124,62
470,SEVEN SEAS EXPLORER,CELUKAN BAWANG,14/2/23,14/2/23,BENOA,SURABAYA,,636,636,318
471,STAR BREZEE,CELUKAN BAWANG,19/2/23,19/2/23,LEMBAR,PROBOLINGO,,121,121,61
472,WESTERDAM,CELUKAN BAWANG,22/2/23,22/2/23,BENOA,SURABAYA,,"1,881.00","1,881",941
473,OCEAN ODYSSEY,CELUKAN BAWANG,27/2/23,27/2/23,BENOA,PROBOLINGO,,125,125,63
474,SEVEN SEAS MARINER,CELUKAN BAWANG,01/3/23,01/3/23,BENOA,PROBOLINGO,,556,556,278
475,WESTERDAM,LEMBAR,15/1/23,15/1/23,LABUAN BAJO,BENOA,,"1,876.00","1,876",938
476,PACIFIC ECOUNTER,LEMBAR,03/2/23,03/2/23,BENOA,SINGAPORE,,"1,711.00","1,711",856
477,STAR BREZEE,LEMBAR,16/2/23,16/2/23,KOMODO,BENOA,,637,637,319
478,SEVEN SEAS EXPLORER,LEMBAR,12/2/23,12/2/23,KOMODO,BENOA,,132,132,66
479,STAR BREZEE,LEMBAR,18/2/23,18/2/23,BENOA,CELUKAN BAWANG,,122,122,61
480,WESTERDAM,LEMBAR,19/2/23,19/2/23,SINGAPORE,LEMBAR,,"1,868.00","1,868",934
481,PACIFIC ECOUNTER,LEMBAR,01/3/23,01/3/23,BENOA,DARWIN,,2348,"2,348","1,174"
482,MSC MAGNIFICA,BENOA,04/4/23,05/4/23,LOMBOK,SINGAPORE,,"1,969",1907,985
483,VIKING MARS,BENOA,06/4/23,07/4/23,LEMBAR,TANJUNG PERAK,,797,877,399
484,LE LAPEROUSE,BENOA,09/4/23,09/4/23,KOMODO,KOMODO,,122,150,61
485,LE PONANT,BENOA,17/4/23,18/4/23,SINGAPORE,DARWIN,,0,0,100
486,PACIFIC WORLD,BENOA,22/4/23,22/4/23,MANILA,SINGAPORE,,"1,262",1238,631
487,MAGNIFICA,LEMBAR,03/4/23,03/4/23,DARWIN,BENOA,,1954,"1,954",977
488,VIKING MARS,LEMBAR,05/4/23,05/4/23,KOMODO,BENOA,,797,797,399
489,SEVEN SEAS EXPLORER,Tanjung Perak,15/2/23,15/2/23,SINGAPORE,SINGAPORE,,630,630,315
490,WESTERDAM,Tanjung Perak,24/2/23,24/2/23,CELUKANG BAWANG,SINGAPORE,,1881,1871,941
491,Amera,Tanjung Emas,22/1/23,22/1/23,SINGAPORE,KARIMUNJAWA,,794,794,397
492,Ocean Odyssey,Tanjung Emas,31/1/23,31/1/23,KARIMUNJAWA,PROBOLINGGO,,124,124,62
493,Star Breeze,Tanjung Emas,22/2/23,22/2/23,BAWEAN,KARIMUNJAWA,,121,121,61
494,Europa 2,Tanjung Emas,25/2/23,25/2/23,BENOA,KARIMUNJAWA,,341,341,171
495,SEVEN SEAS MARINER,Tanjung Perak,02/3/23,02/3/23,BENOA,BANDAR SERI BEGAW,,556,552,278
496,Ocean Odyssey,Tanjung Emas,02/3/23,02/3/23,BAWEAN,KUMAI,,125,125,63
497,Viking Neptune,Tanjung Emas,05/3/23,05/3/23,BENOA,HO CHI MINH,,849,849,425
498,Silver Whisper,Tanjung Emas,11/3/23,11/3/23,BENOA,SINGAPORE,,341,341,171
499,Viking Orion,Tanjung Emas,21/3/23,21/3/23,BENOA,HO CHI MINH,,810,810,405
500,SEABOURN SOJOURN,Tanjung Perak,30/3/23,30/3/23,PROBOLINGGO,PADANG,,300,306,150
501,Viking Mars,Tanjung Emas,09/4/23,09/4/23,SURABAYA,JAKARTA,,876,882,438
502,Viking Mars,Tanjung Perak,08/4/23,08/4/23,LEMBAR,SEMARANG,,894,894,400
503,MV. WESTERDAM,Tanjung Priok,16/2/23,16/2/23,SINGAPORE,PROBOLINGGO,,1948,1939,934
504,STARBREEZE,Tanjung Priok,24/2/23,24/2/23,KARIMUN JAWA,SINGAPORE,,122,123,61
505,MS. QUEEN ELISABETH,Tanjung Priok,13/3/23,13/3/23,BENOA,SINGAPORE,,1879,1873,942
506,MS. QUEEN VICTORIA,Tanjung Priok,14/3/23,14/3/23,BENOA,PORT KLANG,,1523,1519,764
507,MV. VIKING MARS,Tanjung Priok,10/4/23,11/4/23,SEMARANG,SINGAPORE,,894,894,400
